,i_.i_.MinimumData,i_.i_.Imputation,i_.i_.SNPs,i_.i_.Ascertainment,j_.j_.MinimumData,j_.j_.Imputation,j_.j_.SNPs,j_.j_.Ascertainment,v1x,v2y,cor.out,intercept.out,slope.out,,
11,80%,No,all,seqcap,80%,No,all,seqcap,var_out_588ind_all_v2_COMBINED.table.contig_flt80.bayenv.covmatED,var_out_588ind_all_v2_COMBINED.table.contig_flt80.bayenv.covmatED,1,NA,NA,,
12,80%,No,all,seqcap,10%,No,noncoding,seqcap,var_out_588ind_all_v2_COMBINED.table.contig_flt80.bayenv.covmatED,var_out_588ind_all_v2_COMBINED.table.contig_flt10.noncoding.bayenv.covmatED,0.950668936,0.134480899,0.598651199,coding vs noncoding,
13,80%,No,all,seqcap,80%,No,noncoding,seqcap,var_out_588ind_all_v2_COMBINED.table.contig_flt80.bayenv.covmatED,var_out_588ind_all_v2_COMBINED.table.contig_flt80.noncoding.bayenv.covmatED,0.973234563,-0.186296182,1.424774689,,
14,80%,No,all,seqcap,10%,Yes,all,seqcap,var_out_588ind_all_v2_COMBINED.table.contig_flt80.bayenv.covmatED,var_out_spruce_all_beagle10_p99.tab.bayenv.covmatED,0.894125965,0.20454454,0.479649453,,
15,80%,No,all,seqcap,10%,Yes,noncoding,seqcap,var_out_588ind_all_v2_COMBINED.table.contig_flt80.bayenv.covmatED,var_out_spruce_all_beagle10_p99.tab.noncoding.bayenv.covmatED,0.908637485,0.145254028,0.574516163,,
16,80%,No,all,seqcap,80%,Yes,all,seqcap,var_out_588ind_all_v2_COMBINED.table.contig_flt80.bayenv.covmatED,var_out_spruce_all_beagle80_p99.tab.bayenv.covmatED,0.994768483,0.008485242,0.972922113,imputed vs not imputed,
17,80%,No,all,seqcap,80%,Yes,noncoding,seqcap,var_out_588ind_all_v2_COMBINED.table.contig_flt80.bayenv.covmatED,var_out_spruce_all_beagle80_p99.tab.noncoding.bayenv.covmatED,0.971002553,-0.181886203,1.405567615,,
18,80%,No,all,seqcap,10%,No,noncoding,GBS,var_out_588ind_all_v2_COMBINED.table.contig_flt80.bayenv.covmatED,spruce_GBS_all.table.contig_flt10.bayenv.covmatED,0.666556617,0.156192782,0.678438248,,
19,10%,No,noncoding,seqcap,10%,No,all,seqcap,var_out_588ind_all_v2_COMBINED.table.contig_flt10.noncoding.bayenv.covmatED,COMBINED.table.contig_flt10.bayenvED,0.970068688,0.066127255,0.864122375,,
20,10%,No,noncoding,seqcap,80%,No,all,seqcap,var_out_588ind_all_v2_COMBINED.table.contig_flt10.noncoding.bayenv.covmatED,var_out_588ind_all_v2_COMBINED.table.contig_flt80.bayenv.covmatED,0.950668936,-0.15469463,1.50967947,,
21,10%,No,noncoding,seqcap,10%,No,noncoding,seqcap,var_out_588ind_all_v2_COMBINED.table.contig_flt10.noncoding.bayenv.covmatED,var_out_588ind_all_v2_COMBINED.table.contig_flt10.noncoding.bayenv.covmatED,1,NA,NA,,
22,10%,No,noncoding,seqcap,80%,No,noncoding,seqcap,var_out_588ind_all_v2_COMBINED.table.contig_flt10.noncoding.bayenv.covmatED,var_out_588ind_all_v2_COMBINED.table.contig_flt80.noncoding.bayenv.covmatED,0.934842609,-0.416431561,2.173314674,10% vs 80%,
23,10%,No,noncoding,seqcap,10%,Yes,all,seqcap,var_out_588ind_all_v2_COMBINED.table.contig_flt10.noncoding.bayenv.covmatED,var_out_spruce_all_beagle10_p99.tab.bayenv.covmatED,0.809425691,0.14539234,0.689537163,,
24,10%,No,noncoding,seqcap,10%,Yes,noncoding,seqcap,var_out_588ind_all_v2_COMBINED.table.contig_flt10.noncoding.bayenv.covmatED,var_out_spruce_all_beagle10_p99.tab.noncoding.bayenv.covmatED,0.850365306,0.062255121,0.853832302,imputed vs not imputed,
25,10%,No,noncoding,seqcap,80%,Yes,all,seqcap,var_out_588ind_all_v2_COMBINED.table.contig_flt10.noncoding.bayenv.covmatED,var_out_spruce_all_beagle80_p99.tab.bayenv.covmatED,0.949838353,-0.144820462,1.475234992,,
26,10%,No,noncoding,seqcap,80%,Yes,noncoding,seqcap,var_out_588ind_all_v2_COMBINED.table.contig_flt10.noncoding.bayenv.covmatED,var_out_spruce_all_beagle80_p99.tab.noncoding.bayenv.covmatED,0.932544548,-0.408765038,2.143662466,,
27,10%,No,noncoding,seqcap,10%,No,noncoding,GBS,var_out_588ind_all_v2_COMBINED.table.contig_flt10.noncoding.bayenv.covmatED,spruce_GBS_all.table.contig_flt10.bayenv.covmatED,0.656581315,0.0351312,1.061248882,,
28,80%,No,noncoding,seqcap,10%,No,all,seqcap,var_out_588ind_all_v2_COMBINED.table.contig_flt80.noncoding.bayenv.covmatED,COMBINED.table.contig_flt10.bayenvED,0.916124625,0.256354021,0.35102917,,
29,80%,No,noncoding,seqcap,80%,No,all,seqcap,var_out_588ind_all_v2_COMBINED.table.contig_flt80.noncoding.bayenv.covmatED,var_out_588ind_all_v2_COMBINED.table.contig_flt80.bayenv.covmatED,0.973234563,0.150373857,0.664796703,,
30,80%,No,noncoding,seqcap,10%,No,noncoding,seqcap,var_out_588ind_all_v2_COMBINED.table.contig_flt80.noncoding.bayenv.covmatED,var_out_588ind_all_v2_COMBINED.table.contig_flt10.noncoding.bayenv.covmatED,0.934842609,0.222312587,0.402118807,,
31,80%,No,noncoding,seqcap,80%,No,noncoding,seqcap,var_out_588ind_all_v2_COMBINED.table.contig_flt80.noncoding.bayenv.covmatED,var_out_588ind_all_v2_COMBINED.table.contig_flt80.noncoding.bayenv.covmatED,1,NA,NA,,
32,80%,No,noncoding,seqcap,10%,Yes,all,seqcap,var_out_588ind_all_v2_COMBINED.table.contig_flt80.noncoding.bayenv.covmatED,var_out_spruce_all_beagle10_p99.tab.bayenv.covmatED,0.887502659,0.273314497,0.32521176,,
33,80%,No,noncoding,seqcap,10%,Yes,noncoding,seqcap,var_out_588ind_all_v2_COMBINED.table.contig_flt80.noncoding.bayenv.covmatED,var_out_spruce_all_beagle10_p99.tab.noncoding.bayenv.covmatED,0.900812747,0.227875603,0.389060784,,
34,80%,No,noncoding,seqcap,80%,Yes,all,seqcap,var_out_588ind_all_v2_COMBINED.table.contig_flt80.noncoding.bayenv.covmatED,var_out_spruce_all_beagle80_p99.tab.bayenv.covmatED,0.973061462,0.153048207,0.650081284,,
35,80%,No,noncoding,seqcap,80%,Yes,noncoding,seqcap,var_out_588ind_all_v2_COMBINED.table.contig_flt80.noncoding.bayenv.covmatED,var_out_spruce_all_beagle80_p99.tab.noncoding.bayenv.covmatED,0.989072878,0.006416824,0.977982303,imputed vs not imputed,
36,80%,No,noncoding,seqcap,10%,No,noncoding,GBS,var_out_588ind_all_v2_COMBINED.table.contig_flt80.noncoding.bayenv.covmatED,spruce_GBS_all.table.contig_flt10.bayenv.covmatED,0.638530186,0.261960232,0.443941807,,
37,10%,Yes,all,seqcap,10%,No,all,seqcap,var_out_spruce_all_beagle10_p99.tab.bayenv.covmatED,COMBINED.table.contig_flt10.bayenvED,0.778128814,0.079705847,0.813661127,,
38,10%,Yes,all,seqcap,80%,No,all,seqcap,var_out_spruce_all_beagle10_p99.tab.bayenv.covmatED,var_out_588ind_all_v2_COMBINED.table.contig_flt80.bayenv.covmatED,0.894125965,-0.240211332,1.666761499,,
39,10%,Yes,all,seqcap,10%,No,noncoding,seqcap,var_out_spruce_all_beagle10_p99.tab.bayenv.covmatED,var_out_588ind_all_v2_COMBINED.table.contig_flt10.noncoding.bayenv.covmatED,0.809425691,0.011903045,0.950159011,,
40,10%,Yes,all,seqcap,80%,No,noncoding,seqcap,var_out_spruce_all_beagle10_p99.tab.bayenv.covmatED,var_out_588ind_all_v2_COMBINED.table.contig_flt80.noncoding.bayenv.covmatED,0.887502659,-0.54958319,2.421994112,,
41,10%,Yes,all,seqcap,10%,Yes,all,seqcap,var_out_spruce_all_beagle10_p99.tab.bayenv.covmatED,var_out_spruce_all_beagle10_p99.tab.bayenv.covmatED,1,NA,NA,,
42,10%,Yes,all,seqcap,10%,Yes,noncoding,seqcap,var_out_spruce_all_beagle10_p99.tab.bayenv.covmatED,var_out_spruce_all_beagle10_p99.tab.noncoding.bayenv.covmatED,0.932658209,-0.055869615,1.09928138,coding vs noncoding,
43,10%,Yes,all,seqcap,80%,Yes,all,seqcap,var_out_spruce_all_beagle10_p99.tab.bayenv.covmatED,var_out_spruce_all_beagle80_p99.tab.bayenv.covmatED,0.887265237,-0.223448754,1.617648935,10% vs 80%,
44,10%,Yes,all,seqcap,80%,Yes,noncoding,seqcap,var_out_spruce_all_beagle10_p99.tab.bayenv.covmatED,var_out_spruce_all_beagle80_p99.tab.noncoding.bayenv.covmatED,0.875601439,-0.528417435,2.36272181,,
45,10%,Yes,all,seqcap,10%,No,noncoding,GBS,var_out_spruce_all_beagle10_p99.tab.bayenv.covmatED,spruce_GBS_all.table.contig_flt10.bayenv.covmatED,0.626135488,-0.032256978,1.187999759,,
46,10%,Yes,noncoding,seqcap,10%,No,all,seqcap,var_out_spruce_all_beagle10_p99.tab.noncoding.bayenv.covmatED,COMBINED.table.contig_flt10.bayenvED,0.813198905,0.129184797,0.721443793,,
47,10%,Yes,noncoding,seqcap,80%,No,all,seqcap,var_out_spruce_all_beagle10_p99.tab.noncoding.bayenv.covmatED,var_out_588ind_all_v2_COMBINED.table.contig_flt80.bayenv.covmatED,0.908637485,-0.121163748,1.437073721,,
48,10%,Yes,noncoding,seqcap,10%,No,noncoding,seqcap,var_out_spruce_all_beagle10_p99.tab.noncoding.bayenv.covmatED,var_out_588ind_all_v2_COMBINED.table.contig_flt10.noncoding.bayenv.covmatED,0.850365306,0.067756058,0.846912387,,
49,10%,Yes,noncoding,seqcap,80%,No,noncoding,seqcap,var_out_spruce_all_beagle10_p99.tab.noncoding.bayenv.covmatED,var_out_588ind_all_v2_COMBINED.table.contig_flt80.noncoding.bayenv.covmatED,0.900812747,-0.375494779,2.085698787,,
50,10%,Yes,noncoding,seqcap,10%,Yes,all,seqcap,var_out_spruce_all_beagle10_p99.tab.noncoding.bayenv.covmatED,var_out_spruce_all_beagle10_p99.tab.bayenv.covmatED,0.932658209,0.102182098,0.791290884,,
51,10%,Yes,noncoding,seqcap,10%,Yes,noncoding,seqcap,var_out_spruce_all_beagle10_p99.tab.noncoding.bayenv.covmatED,var_out_spruce_all_beagle10_p99.tab.noncoding.bayenv.covmatED,1,NA,NA,,
52,10%,Yes,noncoding,seqcap,80%,Yes,all,seqcap,var_out_spruce_all_beagle10_p99.tab.noncoding.bayenv.covmatED,var_out_spruce_all_beagle80_p99.tab.bayenv.covmatED,0.904655896,-0.109915637,1.399354902,,
53,10%,Yes,noncoding,seqcap,80%,Yes,noncoding,seqcap,var_out_spruce_all_beagle10_p99.tab.noncoding.bayenv.covmatED,var_out_spruce_all_beagle80_p99.tab.noncoding.bayenv.covmatED,0.889817543,-0.359666442,2.037139324,10% vs 80%,
54,10%,Yes,noncoding,seqcap,10%,No,noncoding,GBS,var_out_spruce_all_beagle10_p99.tab.noncoding.bayenv.covmatED,spruce_GBS_all.table.contig_flt10.bayenv.covmatED,0.630127187,0.056904067,1.014354818,,
55,80%,Yes,all,seqcap,10%,No,all,seqcap,var_out_spruce_all_beagle80_p99.tab.bayenv.covmatED,COMBINED.table.contig_flt10.bayenvED,0.934071105,0.175825787,0.535724118,,
56,80%,Yes,all,seqcap,80%,No,all,seqcap,var_out_spruce_all_beagle80_p99.tab.bayenv.covmatED,var_out_588ind_all_v2_COMBINED.table.contig_flt80.bayenv.covmatED,0.994768483,-0.003389331,1.0171054,,
57,80%,Yes,all,seqcap,10%,No,noncoding,seqcap,var_out_spruce_all_beagle80_p99.tab.bayenv.covmatED,var_out_588ind_all_v2_COMBINED.table.contig_flt10.noncoding.bayenv.covmatED,0.949838353,0.131125876,0.61155877,,
58,80%,Yes,all,seqcap,80%,No,noncoding,seqcap,var_out_spruce_all_beagle80_p99.tab.bayenv.covmatED,var_out_588ind_all_v2_COMBINED.table.contig_flt80.noncoding.bayenv.covmatED,0.973061462,-0.194784948,1.45650803,,
59,80%,Yes,all,seqcap,10%,Yes,all,seqcap,var_out_spruce_all_beagle80_p99.tab.bayenv.covmatED,var_out_spruce_all_beagle10_p99.tab.bayenv.covmatED,0.887265237,0.203514094,0.486656643,,
60,80%,Yes,all,seqcap,10%,Yes,noncoding,seqcap,var_out_spruce_all_beagle80_p99.tab.bayenv.covmatED,var_out_spruce_all_beagle10_p99.tab.noncoding.bayenv.covmatED,0.904655896,0.143058715,0.584842551,,
61,80%,Yes,all,seqcap,80%,Yes,all,seqcap,var_out_spruce_all_beagle80_p99.tab.bayenv.covmatED,var_out_spruce_all_beagle80_p99.tab.bayenv.covmatED,1,NA,NA,,
62,80%,Yes,all,seqcap,80%,Yes,noncoding,seqcap,var_out_spruce_all_beagle80_p99.tab.bayenv.covmatED,var_out_spruce_all_beagle80_p99.tab.noncoding.bayenv.covmatED,0.974802335,-0.193183281,1.442752628,coding vs noncoding,
63,80%,Yes,all,seqcap,10%,No,noncoding,GBS,var_out_spruce_all_beagle80_p99.tab.bayenv.covmatED,spruce_GBS_all.table.contig_flt10.bayenv.covmatED,0.65674841,0.157163452,0.683464959,,
64,80%,Yes,noncoding,seqcap,10%,No,all,seqcap,var_out_spruce_all_beagle80_p99.tab.noncoding.bayenv.covmatED,COMBINED.table.contig_flt10.bayenvED,0.919016689,0.255518813,0.356130644,,
65,80%,Yes,noncoding,seqcap,80%,No,all,seqcap,var_out_spruce_all_beagle80_p99.tab.noncoding.bayenv.covmatED,var_out_588ind_all_v2_COMBINED.table.contig_flt80.bayenv.covmatED,0.971002553,0.150712331,0.670793741,,
66,80%,Yes,noncoding,seqcap,10%,No,noncoding,seqcap,var_out_spruce_all_beagle80_p99.tab.noncoding.bayenv.covmatED,var_out_588ind_all_v2_COMBINED.table.contig_flt10.noncoding.bayenv.covmatED,0.932544548,0.222552451,0.405679228,,
67,80%,Yes,noncoding,seqcap,80%,No,noncoding,seqcap,var_out_spruce_all_beagle80_p99.tab.noncoding.bayenv.covmatED,var_out_588ind_all_v2_COMBINED.table.contig_flt80.noncoding.bayenv.covmatED,0.989072878,0.005084739,1.000289223,,
68,80%,Yes,noncoding,seqcap,10%,Yes,all,seqcap,var_out_spruce_all_beagle80_p99.tab.noncoding.bayenv.covmatED,var_out_spruce_all_beagle10_p99.tab.bayenv.covmatED,0.875601439,0.275396005,0.324489272,,
69,80%,Yes,noncoding,seqcap,10%,Yes,noncoding,seqcap,var_out_spruce_all_beagle80_p99.tab.noncoding.bayenv.covmatED,var_out_spruce_all_beagle10_p99.tab.noncoding.bayenv.covmatED,0.889817543,0.23011754,0.388670156,,
70,80%,Yes,noncoding,seqcap,80%,Yes,all,seqcap,var_out_spruce_all_beagle80_p99.tab.noncoding.bayenv.covmatED,var_out_spruce_all_beagle80_p99.tab.bayenv.covmatED,0.974802335,0.15197269,0.658629604,,
71,80%,Yes,noncoding,seqcap,80%,Yes,noncoding,seqcap,var_out_spruce_all_beagle80_p99.tab.noncoding.bayenv.covmatED,var_out_spruce_all_beagle80_p99.tab.noncoding.bayenv.covmatED,1,NA,NA,,
72,80%,Yes,noncoding,seqcap,10%,No,noncoding,GBS,var_out_spruce_all_beagle80_p99.tab.noncoding.bayenv.covmatED,spruce_GBS_all.table.contig_flt10.bayenv.covmatED,0.629911325,0.264822416,0.442915956,,
73,10%,No,noncoding,GBS,10%,No,all,seqcap,spruce_GBS_all.table.contig_flt10.bayenv.covmatED,COMBINED.table.contig_flt10.bayenvED,0.636640401,0.267788634,0.350863533,GBS vs seqcap,
74,10%,No,noncoding,GBS,80%,No,all,seqcap,spruce_GBS_all.table.contig_flt10.bayenv.covmatED,var_out_588ind_all_v2_COMBINED.table.contig_flt80.bayenv.covmatED,0.666556617,0.17679972,0.654883071,GBS vs seqcap,
75,10%,No,noncoding,GBS,10%,No,noncoding,seqcap,spruce_GBS_all.table.contig_flt10.bayenv.covmatED,var_out_588ind_all_v2_COMBINED.table.contig_flt10.noncoding.bayenv.covmatED,0.656581315,0.233279863,0.406218589,GBS vs seqcap,
76,10%,No,noncoding,GBS,80%,No,noncoding,seqcap,spruce_GBS_all.table.contig_flt10.bayenv.covmatED,var_out_588ind_all_v2_COMBINED.table.contig_flt80.noncoding.bayenv.covmatED,0.638530186,0.072883667,0.918410457,GBS vs seqcap,values similar but low correlation
77,10%,No,noncoding,GBS,10%,Yes,all,seqcap,spruce_GBS_all.table.contig_flt10.bayenv.covmatED,var_out_spruce_all_beagle10_p99.tab.bayenv.covmatED,0.626135488,0.281450088,0.330004822,GBS vs seqcap,
78,10%,No,noncoding,GBS,10%,Yes,noncoding,seqcap,spruce_GBS_all.table.contig_flt10.bayenv.covmatED,var_out_spruce_all_beagle10_p99.tab.noncoding.bayenv.covmatED,0.630127187,0.239274969,0.391441205,GBS vs seqcap,
79,10%,No,noncoding,GBS,80%,Yes,all,seqcap,spruce_GBS_all.table.contig_flt10.bayenv.covmatED,var_out_spruce_all_beagle80_p99.tab.bayenv.covmatED,0.65674841,0.183515907,0.631076207,GBS vs seqcap,
80,10%,No,noncoding,GBS,80%,Yes,noncoding,seqcap,spruce_GBS_all.table.contig_flt10.bayenv.covmatED,var_out_spruce_all_beagle80_p99.tab.noncoding.bayenv.covmatED,0.629911325,0.078855883,0.895854556,GBS vs seqcap,values similar but low correlation
81,10%,No,noncoding,GBS,10%,No,noncoding,GBS,spruce_GBS_all.table.contig_flt10.bayenv.covmatED,spruce_GBS_all.table.contig_flt10.bayenv.covmatED,1,NA,NA,GBS vs seqcap,
