,v1x,v2y,cor.out,intercept.out,slope.out,Notes,
16,var_out_588ind_all_v2_COMBINED.table.contig_flt80.bayenv.covmatED,var_out_spruce_all_beagle80_p99.tab.noncoding.bayenv.covmatED,0.971002553,-0.181886203,1.405567615,,
17,var_out_588ind_all_v2_COMBINED.table.contig_flt10.noncoding.bayenv.covmatED,COMBINED.table.contig_flt10.bayenvED,0.970068688,0.066127255,0.864122375,coding vs. noncoding within dataset,
18,var_out_588ind_all_v2_COMBINED.table.contig_flt10.noncoding.bayenv.covmatED,var_out_588ind_all_v2_COMBINED.table.contig_flt80.bayenv.covmatED,0.950668936,-0.15469463,1.50967947,,
19,var_out_588ind_all_v2_COMBINED.table.contig_flt10.noncoding.bayenv.covmatED,var_out_588ind_all_v2_COMBINED.table.contig_flt10.noncoding.bayenv.covmatED,1,NA,NA,,
20,var_out_588ind_all_v2_COMBINED.table.contig_flt10.noncoding.bayenv.covmatED,var_out_588ind_all_v2_COMBINED.table.contig_flt80.noncoding.bayenv.covmatED,0.934842609,-0.416431561,2.173314674,,
21,var_out_588ind_all_v2_COMBINED.table.contig_flt10.noncoding.bayenv.covmatED,var_out_spruce_all_beagle10_p99.tab.bayenv.covmatED,0.809425691,0.14539234,0.689537163,,
22,var_out_588ind_all_v2_COMBINED.table.contig_flt10.noncoding.bayenv.covmatED,var_out_spruce_all_beagle10_p99.tab.noncoding.bayenv.covmatED,0.850365306,0.062255121,0.853832302,10% data noncoding no imputation vs 10% data noncoding with imputation,
23,var_out_588ind_all_v2_COMBINED.table.contig_flt10.noncoding.bayenv.covmatED,var_out_spruce_all_beagle80_p99.tab.bayenv.covmatED,0.949838353,-0.144820462,1.475234992,,
24,var_out_588ind_all_v2_COMBINED.table.contig_flt10.noncoding.bayenv.covmatED,var_out_spruce_all_beagle80_p99.tab.noncoding.bayenv.covmatED,0.932544548,-0.408765038,2.143662466,,
25,var_out_588ind_all_v2_COMBINED.table.contig_flt80.noncoding.bayenv.covmatED,COMBINED.table.contig_flt10.bayenvED,0.916124625,0.256354021,0.35102917,,
26,var_out_588ind_all_v2_COMBINED.table.contig_flt80.noncoding.bayenv.covmatED,var_out_588ind_all_v2_COMBINED.table.contig_flt80.bayenv.covmatED,0.973234563,0.150373857,0.664796703,coding vs. noncoding within dataset,
27,var_out_588ind_all_v2_COMBINED.table.contig_flt80.noncoding.bayenv.covmatED,var_out_588ind_all_v2_COMBINED.table.contig_flt10.noncoding.bayenv.covmatED,0.934842609,0.222312587,0.402118807,,
28,var_out_588ind_all_v2_COMBINED.table.contig_flt80.noncoding.bayenv.covmatED,var_out_588ind_all_v2_COMBINED.table.contig_flt80.noncoding.bayenv.covmatED,1,NA,NA,,
29,var_out_588ind_all_v2_COMBINED.table.contig_flt80.noncoding.bayenv.covmatED,var_out_spruce_all_beagle10_p99.tab.bayenv.covmatED,0.887502659,0.273314497,0.32521176,,
30,var_out_588ind_all_v2_COMBINED.table.contig_flt80.noncoding.bayenv.covmatED,var_out_spruce_all_beagle10_p99.tab.noncoding.bayenv.covmatED,0.900812747,0.227875603,0.389060784,,
31,var_out_588ind_all_v2_COMBINED.table.contig_flt80.noncoding.bayenv.covmatED,var_out_spruce_all_beagle80_p99.tab.bayenv.covmatED,0.973061462,0.153048207,0.650081284,,
32,var_out_588ind_all_v2_COMBINED.table.contig_flt80.noncoding.bayenv.covmatED,var_out_spruce_all_beagle80_p99.tab.noncoding.bayenv.covmatED,0.989072878,0.006416824,0.977982303,80% data noncoding no imputation vs 80% data noncoding with imputation,
33,var_out_spruce_all_beagle10_p99.tab.bayenv.covmatED,COMBINED.table.contig_flt10.bayenvED,0.778128814,0.079705847,0.813661127,10% data with imputation vs. 10% data without imputation,
34,var_out_spruce_all_beagle10_p99.tab.bayenv.covmatED,var_out_588ind_all_v2_COMBINED.table.contig_flt80.bayenv.covmatED,0.894125965,-0.240211332,1.666761499,10% data with imputation vs. 80% data without imputation,
35,var_out_spruce_all_beagle10_p99.tab.bayenv.covmatED,var_out_588ind_all_v2_COMBINED.table.contig_flt10.noncoding.bayenv.covmatED,0.809425691,0.011903045,0.950159011,10% data with imputation vs. 10% noncoding data without imputation,
36,var_out_spruce_all_beagle10_p99.tab.bayenv.covmatED,var_out_588ind_all_v2_COMBINED.table.contig_flt80.noncoding.bayenv.covmatED,0.887502659,-0.54958319,2.421994112,10% data with imputation vs. 80% noncoding data without imputation,
37,var_out_spruce_all_beagle10_p99.tab.bayenv.covmatED,var_out_spruce_all_beagle10_p99.tab.bayenv.covmatED,1,NA,NA,,
38,var_out_spruce_all_beagle10_p99.tab.bayenv.covmatED,var_out_spruce_all_beagle10_p99.tab.noncoding.bayenv.covmatED,0.932658209,-0.055869615,1.09928138,coding vs. noncoding within dataset,
39,var_out_spruce_all_beagle10_p99.tab.bayenv.covmatED,var_out_spruce_all_beagle80_p99.tab.bayenv.covmatED,0.887265237,-0.223448754,1.617648935,,
40,var_out_spruce_all_beagle10_p99.tab.bayenv.covmatED,var_out_spruce_all_beagle80_p99.tab.noncoding.bayenv.covmatED,0.875601439,-0.528417435,2.36272181,,
41,var_out_spruce_all_beagle10_p99.tab.noncoding.bayenv.covmatED,COMBINED.table.contig_flt10.bayenvED,0.813198905,0.129184797,0.721443793,,
42,var_out_spruce_all_beagle10_p99.tab.noncoding.bayenv.covmatED,var_out_588ind_all_v2_COMBINED.table.contig_flt80.bayenv.covmatED,0.908637485,-0.121163748,1.437073721,,
43,var_out_spruce_all_beagle10_p99.tab.noncoding.bayenv.covmatED,var_out_588ind_all_v2_COMBINED.table.contig_flt10.noncoding.bayenv.covmatED,0.850365306,0.067756058,0.846912387,,
44,var_out_spruce_all_beagle10_p99.tab.noncoding.bayenv.covmatED,var_out_588ind_all_v2_COMBINED.table.contig_flt80.noncoding.bayenv.covmatED,0.900812747,-0.375494779,2.085698787,,
45,var_out_spruce_all_beagle10_p99.tab.noncoding.bayenv.covmatED,var_out_spruce_all_beagle10_p99.tab.bayenv.covmatED,0.932658209,0.102182098,0.791290884,coding vs. noncoding within dataset,
46,var_out_spruce_all_beagle10_p99.tab.noncoding.bayenv.covmatED,var_out_spruce_all_beagle10_p99.tab.noncoding.bayenv.covmatED,1,NA,NA,,
47,var_out_spruce_all_beagle10_p99.tab.noncoding.bayenv.covmatED,var_out_spruce_all_beagle80_p99.tab.bayenv.covmatED,0.904655896,-0.109915637,1.399354902,,
48,var_out_spruce_all_beagle10_p99.tab.noncoding.bayenv.covmatED,var_out_spruce_all_beagle80_p99.tab.noncoding.bayenv.covmatED,0.889817543,-0.359666442,2.037139324,,
49,var_out_spruce_all_beagle80_p99.tab.bayenv.covmatED,COMBINED.table.contig_flt10.bayenvED,0.934071105,0.175825787,0.535724118,,
50,var_out_spruce_all_beagle80_p99.tab.bayenv.covmatED,var_out_588ind_all_v2_COMBINED.table.contig_flt80.bayenv.covmatED,0.994768483,-0.003389331,1.0171054,,
51,var_out_spruce_all_beagle80_p99.tab.bayenv.covmatED,var_out_588ind_all_v2_COMBINED.table.contig_flt10.noncoding.bayenv.covmatED,0.949838353,0.131125876,0.61155877,,
52,var_out_spruce_all_beagle80_p99.tab.bayenv.covmatED,var_out_588ind_all_v2_COMBINED.table.contig_flt80.noncoding.bayenv.covmatED,0.973061462,-0.194784948,1.45650803,,
53,var_out_spruce_all_beagle80_p99.tab.bayenv.covmatED,var_out_spruce_all_beagle10_p99.tab.bayenv.covmatED,0.887265237,0.203514094,0.486656643,,
54,var_out_spruce_all_beagle80_p99.tab.bayenv.covmatED,var_out_spruce_all_beagle10_p99.tab.noncoding.bayenv.covmatED,0.904655896,0.143058715,0.584842551,,
55,var_out_spruce_all_beagle80_p99.tab.bayenv.covmatED,var_out_spruce_all_beagle80_p99.tab.bayenv.covmatED,1,NA,NA,,
56,var_out_spruce_all_beagle80_p99.tab.bayenv.covmatED,var_out_spruce_all_beagle80_p99.tab.noncoding.bayenv.covmatED,0.974802335,-0.193183281,1.442752628,coding vs. noncoding within dataset,
57,var_out_spruce_all_beagle80_p99.tab.noncoding.bayenv.covmatED,COMBINED.table.contig_flt10.bayenvED,0.919016689,0.255518813,0.356130644,,
58,var_out_spruce_all_beagle80_p99.tab.noncoding.bayenv.covmatED,var_out_588ind_all_v2_COMBINED.table.contig_flt80.bayenv.covmatED,0.971002553,0.150712331,0.670793741,,
59,var_out_spruce_all_beagle80_p99.tab.noncoding.bayenv.covmatED,var_out_588ind_all_v2_COMBINED.table.contig_flt10.noncoding.bayenv.covmatED,0.932544548,0.222552451,0.405679228,,
60,var_out_spruce_all_beagle80_p99.tab.noncoding.bayenv.covmatED,var_out_588ind_all_v2_COMBINED.table.contig_flt80.noncoding.bayenv.covmatED,0.989072878,0.005084739,1.000289223,,
61,var_out_spruce_all_beagle80_p99.tab.noncoding.bayenv.covmatED,var_out_spruce_all_beagle10_p99.tab.bayenv.covmatED,0.875601439,0.275396005,0.324489272,,
62,var_out_spruce_all_beagle80_p99.tab.noncoding.bayenv.covmatED,var_out_spruce_all_beagle10_p99.tab.noncoding.bayenv.covmatED,0.889817543,0.23011754,0.388670156,,
63,var_out_spruce_all_beagle80_p99.tab.noncoding.bayenv.covmatED,var_out_spruce_all_beagle80_p99.tab.bayenv.covmatED,0.974802335,0.15197269,0.658629604,coding vs. noncoding within dataset,
64,var_out_spruce_all_beagle80_p99.tab.noncoding.bayenv.covmatED,var_out_spruce_all_beagle80_p99.tab.noncoding.bayenv.covmatED,1,NA,NA,,
,,,,,,,
